name,address,website,phone_number,reviews_count,reviews_average,latitude,longitude,raw_url
"Зона отдыха ""БалКарагай""","Астана Астана-Малотимофеевка улица 2, Астана 010000",balqaragai.kz,8 (708) 425 4869,,,51.1679754,71.225902,"https://www.google.com/maps/search/%D0%90%D1%81%D1%82%D0%B0%D0%BD%D0%B0+%D0%97%D0%BE%D0%BD%D0%B0+%D0%BE%D1%82%D0%B4%D1%8B%D1%85%D0%B0/@51.1679754,71.225902,10z/data=!4m2!2m1!6e1?entry=ttu&g_ep=EgoyMDI1MTAxNC4wIKXMDSoASAFQAw%3D%3D"
Чистые пруды,"Айтеке Би 33А Косшы, Астана 020000",bit.ly,8 (775) 666 9922,,,51.1679754,71.225902,"https://www.google.com/maps/place/%D0%97%D0%BE%D0%BD%D0%B0+%D0%BE%D1%82%D0%B4%D1%8B%D1%85%D0%B0+%22%D0%91%D0%B0%D0%BB%D0%9A%D0%B0%D1%80%D0%B0%D0%B3%D0%B0%D0%B9%22/@51.1679754,71.225902,10z/data=!4m11!1m3!2m2!1z0JDRgdGC0LDQvdCwINCX0L7QvdCwINC-0YLQtNGL0YXQsA!6e1!3m6!1s0x42457c3ac25fa679:0xba6d921c7ca281d5!8m2!3d51.2008811!4d71.6848324!15sCiLQkNGB0YLQsNC90LAg0JfQvtC90LAg0L7RgtC00YvRhdCwWiQiItCw0YHRgtCw0L3QsCDQt9C-0L3QsCDQvtGC0LTRi9GF0LCSARt2YWNhdGlvbl9ob21lX3JlbnRhbF9hZ2VuY3maASRDaGREU1VoTk1HOW5TMFZKUTBGblNVUlliMXBmU25GUlJSQUKqAXkKCC9tLzA2Ym0yCggvbS8wZm4wOBABKhkiFdC30L7QvdCwINC-0YLQtNGL0YXQsCgNMh4QASIaCfqY9Eui_jBLVVUzHmCYKPNt8FDxnijoLXsyJhACIiLQsNGB0YLQsNC90LAg0LfQvtC90LAg0L7RgtC00YvRhdCw4AEA-gEECAAQOw!16s%2Fg%2F1tgxs2c4?entry=ttu&g_ep=EgoyMDI1MTAxNC4wIKXMDSoASAFQAw%3D%3D"
Kulager,"ул. Жагажай 59, Астана 020000",,8 (747) 987 9876,,,50.9897566,70.7745,"https://www.google.com/maps/place/%D0%A7%D0%B8%D1%81%D1%82%D1%8B%D0%B5+%D0%BF%D1%80%D1%83%D0%B4%D1%8B/@50.9897566,70.7745,10z/data=!4m11!1m3!2m2!1z0JDRgdGC0LDQvdCwINCX0L7QvdCwINC-0YLQtNGL0YXQsA!6e1!3m6!1s0x424591abb36ca773:0x14ddbbbced061f29!8m2!3d50.9897566!4d71.3512822!15sCiLQkNGB0YLQsNC90LAg0JfQvtC90LAg0L7RgtC00YvRhdCwWiQiItCw0YHRgtCw0L3QsCDQt9C-0L3QsCDQvtGC0LTRi9GF0LCSARt2YWNhdGlvbl9ob21lX3JlbnRhbF9hZ2VuY3maASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVTTNOMDlRV0ZSUkVBRaoBeQoIL20vMDZibTIKCC9tLzBmbjA4EAEqGSIV0LfQvtC90LAg0L7RgtC00YvRhdCwKA0yHhABIhoJ-pj0S6L-MEtVVTMeYJgo823wUPGeKOgtezImEAIiItCw0YHRgtCw0L3QsCDQt9C-0L3QsCDQvtGC0LTRi9GF0LDgAQD6AQQIexBB!16s%2Fg%2F11b81shzl7?entry=ttu&g_ep=EgoyMDI1MTAxNC4wIKXMDSoASAFQAw%3D%3D"
Арлан,"улица Мугалжар 80, Астана 020000",,8 (771) 222 0888,,,50.9897566,70.7745,"https://www.google.com/maps/place/Kulager/@50.9897566,70.7745,10z/data=!4m11!1m3!2m2!1z0JDRgdGC0LDQvdCwINCX0L7QvdCwINC-0YLQtNGL0YXQsA!6e1!3m6!1s0x42457886a8ee6263:0x6c090e85504d064c!8m2!3d51.119227!4d71.6001518!15sCiLQkNGB0YLQsNC90LAg0JfQvtC90LAg0L7RgtC00YvRhdCwWiQiItCw0YHRgtCw0L3QsCDQt9C-0L3QsCDQvtGC0LTRi9GF0LCSAQxyZXNvcnRfaG90ZWyaASRDaGREU1VoTk1HOW5TMFZKUTBGblNVTjFNa28yUVhoblJSQUKqAWUQASoZIhXQt9C-0L3QsCDQvtGC0LTRi9GF0LAoDTIeEAEiGgn6mPRLov4wS1VVMx5gmCjzbfBQ8Z4o6C17MiYQAiIi0LDRgdGC0LDQvdCwINC30L7QvdCwINC-0YLQtNGL0YXQsOABAPoBBAg2EDY!16s%2Fg%2F11bbrjtggg?entry=ttu&g_ep=EgoyMDI1MTAxNC4wIKXMDSoASAFQAw%3D%3D"
"""Beibarys"" demalys bazasy","улица Кенес 7, Жибек Жолы 020000",,8 (777) 775 5577,,,50.9897566,70.7745,"https://www.google.com/maps/place/%D0%90%D1%80%D0%BB%D0%B0%D0%BD/@50.9897566,70.7745,10z/data=!4m14!1m3!2m2!1z0JDRgdGC0LDQvdCwINCX0L7QvdCwINC-0YLQtNGL0YXQsA!6e1!3m9!1s0x424586e0c98acc4d:0xf874e837a5652781!5m2!4m1!1i2!8m2!3d51.0954346!4d71.4752033!15sCiLQkNGB0YLQsNC90LAg0JfQvtC90LAg0L7RgtC00YvRhdCwWiQiItCw0YHRgtCw0L3QsCDQt9C-0L3QsCDQvtGC0LTRi9GF0LCSAQtndWVzdF9ob3VzZZoBJENoZERTVWhOTUc5blMwVkpRMEZuU1VONk9FbFhNblJuUlJBQqoBZRABKhkiFdC30L7QvdCwINC-0YLQtNGL0YXQsCgNMh4QASIaCfqY9Eui_jBLVVUzHmCYKPNt8FDxnijoLXsyJhACIiLQsNGB0YLQsNC90LAg0LfQvtC90LAg0L7RgtC00YvRhdCw4AEA-gEECAAQPg!16s%2Fg%2F1xgz9bnm?entry=ttu&g_ep=EgoyMDI1MTAxNC4wIKXMDSoASAFQAw%3D%3D"
Зона отдыха Ажарлы жагалау,"5F6C+645, Астана 020000",,,,,51.0871113,71.1901563,"https://www.google.com/maps/place/%22Beibarys%22+demalys+bazasy/@51.0871113,71.1901563,10z/data=!4m14!1m3!2m2!1z0JDRgdGC0LDQvdCwINCX0L7QvdCwINC-0YLQtNGL0YXQsA!6e1!3m9!1s0x424571c529bfa8f9:0xfea891b94434d291!5m2!4m1!1i2!8m2!3d51.0871113!4d71.7669385!15sCiLQkNGB0YLQsNC90LAg0JfQvtC90LAg0L7RgtC00YvRhdCwWiQiItCw0YHRgtCw0L3QsCDQt9C-0L3QsCDQvtGC0LTRi9GF0LCSARt2YWNhdGlvbl9ob21lX3JlbnRhbF9hZ2VuY3maASRDaGREU1VoTk1HOW5TMFZKUTBGblNVTjFkSFJQUkhSblJSQUKqAXkKCC9tLzA2Ym0yCggvbS8wZm4wOBABKhkiFdC30L7QvdCwINC-0YLQtNGL0YXQsCgNMh4QASIaCfqY9Eui_jBLVVUzHmCYKPNt8FDxnijoLXsyJhACIiLQsNGB0YLQsNC90LAg0LfQvtC90LAg0L7RgtC00YvRhdCw4AEA-gEFCPMBEDk!16s%2Fg%2F11g21s7zw3?entry=ttu&g_ep=EgoyMDI1MTAxNC4wIKXMDSoASAFQAw%3D%3D"
Ғашықтар саябағы,"4CJ5+JRJ, Астана 020000",,8 (705) 726 9343,,,51.1605227,70.8935736,"https://www.google.com/maps/place/%D0%97%D0%BE%D0%BD%D0%B0+%D0%BE%D1%82%D0%B4%D1%8B%D1%85%D0%B0+%D0%90%D0%B6%D0%B0%D1%80%D0%BB%D1%8B+%D0%B6%D0%B0%D0%B3%D0%B0%D0%BB%D0%B0%D1%83/@51.1605227,70.8935736,10z/data=!4m11!1m3!2m2!1z0JDRgdGC0LDQvdCwINCX0L7QvdCwINC-0YLQtNGL0YXQsA!6e1!3m6!1s0x424581353b2d0179:0x3d89e6f9b015167e!8m2!3d51.1605227!4d71.4703558!15sCiLQkNGB0YLQsNC90LAg0JfQvtC90LAg0L7RgtC00YvRhdCwWiQiItCw0YHRgtCw0L3QsCDQt9C-0L3QsCDQvtGC0LTRi9GF0LCSAQtoaWtpbmdfYXJlYZoBJENoZERTVWhOTUc5blMwVkpRMEZuU1VSMVh6ZHlObmxCUlJBQqoBZRABKhkiFdC30L7QvdCwINC-0YLQtNGL0YXQsCgNMh4QASIaCfqY9Eui_jBLVVUzHmCYKPNt8FDxnijoLXsyJhACIiLQsNGB0YLQsNC90LAg0LfQvtC90LAg0L7RgtC00YvRhdCw4AEA-gEECAAQFw!16s%2Fg%2F11t751mcmm?entry=ttu&g_ep=EgoyMDI1MTAxNC4wIKXMDSoASAFQAw%3D%3D"
Слобода,"ул. Жумабека Ташенова 27, Астана 010000",,8 (702) 220 4044,,,51.1605227,70.8935736,"https://www.google.com/maps/place/%D2%92%D0%B0%D1%88%D1%8B%D2%9B%D1%82%D0%B0%D1%80+%D1%81%D0%B0%D1%8F%D0%B1%D0%B0%D2%93%D1%8B/@51.1605227,70.8935736,10z/data=!4m11!1m3!2m2!1z0JDRgdGC0LDQvdCwINCX0L7QvdCwINC-0YLQtNGL0YXQsA!6e1!3m6!1s0x4245869c77fa4883:0x6aaf637c7b90145b!8m2!3d51.1315783!4d71.4095198!15sCiLQkNGB0YLQsNC90LAg0JfQvtC90LAg0L7RgtC00YvRhdCwWiQiItCw0YHRgtCw0L3QsCDQt9C-0L3QsCDQvtGC0LTRi9GF0LCSAQRwYXJrmgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVVJQYVdGUFNGWjNFQUWqAWUQASoZIhXQt9C-0L3QsCDQvtGC0LTRi9GF0LAoDTIeEAEiGgn6mPRLov4wS1VVMx5gmCjzbfBQ8Z4o6C17MiYQAiIi0LDRgdGC0LDQvdCwINC30L7QvdCwINC-0YLQtNGL0YXQsOABAPoBBAgAED8!16s%2Fg%2F11b7q9jr2t?entry=ttu&g_ep=EgoyMDI1MTAxNC4wIKXMDSoASAFQAw%3D%3D"
Bayanaul Hills,"Есильский пер. дом 9, Астана 010000",,8 (701) 024 7775,,,51.1605227,70.8935736,"https://www.google.com/maps/place/%D0%A1%D0%BB%D0%BE%D0%B1%D0%BE%D0%B4%D0%B0/@51.1605227,70.8935736,10z/data=!4m11!1m3!2m2!1z0JDRgdGC0LDQvdCwINCX0L7QvdCwINC-0YLQtNGL0YXQsA!6e1!3m6!1s0x42458148207aaaab:0x66324b4749604a9b!8m2!3d51.1546589!4d71.4512864!15sCiLQkNGB0YLQsNC90LAg0JfQvtC90LAg0L7RgtC00YvRhdCwWiQiItCw0YHRgtCw0L3QsCDQt9C-0L3QsCDQvtGC0LTRi9GF0LCSAQRwYXJrmgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVU51YjNaZmRHMW5SUkFCqgFlEAEqGSIV0LfQvtC90LAg0L7RgtC00YvRhdCwKA0yHhABIhoJ-pj0S6L-MEtVVTMeYJgo823wUPGeKOgtezImEAIiItCw0YHRgtCw0L3QsCDQt9C-0L3QsCDQvtGC0LTRi9GF0LDgAQD6AQQIABAY!16s%2Fg%2F11h42x9m68?entry=ttu&g_ep=EgoyMDI1MTAxNC4wIKXMDSoASAFQAw%3D%3D"
Jansaya,"3PCX+8VG, Жибек Жолы 020000",,8 (777) 831 3333,,,51.1605227,70.8935736,"https://www.google.com/maps/place/Bayanaul+Hills/@51.1605227,70.8935736,10z/data=!4m11!1m3!2m2!1z0JDRgdGC0LDQvdCwINCX0L7QvdCwINC-0YLQtNGL0YXQsA!6e1!3m6!1s0x4245814a400a703d:0xd17a29256399c642!8m2!3d51.1541785!4d71.446707!15sCiLQkNGB0YLQsNC90LAg0JfQvtC90LAg0L7RgtC00YvRhdCwkgELaGlraW5nX2FyZWGqAWUQASoZIhXQt9C-0L3QsCDQvtGC0LTRi9GF0LAoDTIeEAEiGgn6mPRLov4wS1VVMx5gmCjzbfBQ8Z4o6C17MiYQAiIi0LDRgdGC0LDQvdCwINC30L7QvdCwINC-0YLQtNGL0YXQsOABAA!16s%2Fg%2F11h8gjdv9n?entry=ttu&g_ep=EgoyMDI1MTAxNC4wIKXMDSoASAFQAw%3D%3D"
